bizid,거주지 및 소득,추가 단서 사항,참여 제한 대상
R2023011201123,"청년근로자(만15세 이상 34세 이하, 6개월 이상 재직 중인 정규직 근로자)","1. 가입대상(청년)  : 만 15세 이상 34세 이하의 중소기업에 연소득 3,600만원 이하이면서 6개월 이상 재직 중인 「근로기준법」 제2조에 따른 근로자로,「기간제 및 단시간근로자 보호 등에 관한 법률」 제2조에 따른 기간제근로자 및 단시간근로자가 아닌 자.* 다만, 군필자의 경우 복무기간에 비례하여 연령을 연동하여 적용하며, 최고연령은 만 39세로 한정합니다. 2. 가입대상(기업) : 상시근로자 50인 미만의 제조업, 건설업을 영위하고 있는 중소기업","1. 청년(가입제외 대상)1) 해당기업의 최대주주 또는 최대출자자(개인사업자는 대표자를 의미)2) 위에 해당하는 자의 배우자, 직계비속, 형제∙자매 관계에 있는 자3) 정부 및 지방자치단체에서 시행중인 근로자에게 직접 지원하는 자산형성 지원성격의 사업(청년내일채움공제, 청년재직자 내일채움공제, 희망두배 청년통장, 청년연금·청년 마이스터 통장 등)에 참여 중인 자 또는 참여하는 지원금을 수령한 자 유사자산형성지원사업 목록4) 대한민국 국적을 보유하지 않은 외국인. 다만, 고용보험 강제적용 대상인 거주(F-2), 영주(F-5), 결혼이민자(F-6)는 제외5) 세법에 따라 사업자등록을 한 자. 다만, 「고용보험법시행규칙」 제92조 제8호의 취업인정 제외기준에 해당되는 경우는 제외6) 타 기업 대표자를 겸직하고 있는 자7) 부정수급 시도 등의 사유로 중진공이 공제계약을 해지한 후 1년이 경과되지 아니한 자 및 부정수급을 안날로부터 2년 미경과하거나, 보조금법 등에 의해 환수 금액을 반환하지 아니한 자 2. 기업(가입 제한 대상 기업)1) 휴․폐업중인 기업. 다만, 재해를 직접 원인으로 휴업중인 기업은 가동중인 기업으로 간주하여 가입대상에 포함2) 국세 또는 지방세를 체납중인 기업. 다만, 세금분납계획에 따라 성실하게 세금을 납입하고 있는 기업은 가입대상에 포함3) 정부지원금, 공제금, 해지환급금을 거짓 또는 부정한 방법으로 수령(이하 “부정수급” 이라 한다) 하려고 시도하는 등의 사유로 중소벤처기업진흥공단이 공제계약을 해지한 후 1년이 경과되지 아니한 기업4) 「중소기업기본법」상 중소기업 범위에 해당하지 않는 기업(비영리법인 등)"
R2023011201124,"실업자, 근로자, 특수형태근로종사자, 자영업자",-,"현직 공무원, 사립학교 교직원, 졸업예정자 이외 재학생, 연 매출 1억 5천만원 이상의 자영업자, 월 임금 300만원 이상인 대규모기업종사자(45세 미만) 특수형태근로종사자 등은 제외"
R2023012001265,- 만 34세 이하 청년 구직자- 군필자의 경우 복무기간에 따라 만 39세까지 가능,-,제한없음
R2023012001266,제한없음,,
R2023012001267,업력 3년 이내 창업기업,-,"- 금융기관 등으로부터 채무불이행으로 규제중인 자 (기업)- 국세 또는 지방세 체납으로 규제중인 자 (기업)- 중소벤처기업부 창업사업화지원사업 중 동사업 지원제외 대상에 선정되어 협약을 체결한 자 (기업)- 신청일 현재 휴업 중인 기업- 중소벤처기업부 창업사업화사업 참여제한 중인 자 (기업)- 동 사업 주관기관 전담조직의 총괄책임자, 전담/겸직인력으로 참여중인 자 - 고용노동부가 공개하는 임금 체불사업주 명단에 포함된 자 (기업)- 동 사업 창업기업 선정을 위한 주관기관 평가위원회에 위원으로 참여하는 자- 기타 중소벤처기업부 장관이 참여제한의 사유가 있다고 인장하는 자 (기업)"
R2023012001268,"어업인, 어업법인, 수산식품사업자, 그 밖의 수산 관련 기업(벤처/창업기업 등)",-,제한없음
R2023012001269,만 34세 미만 미취업 국적 청년해기사,-,제한없음
R2023012001270,제한없음,-,제한없음
R2023012001271,"1. 공통요건: 서류접수일 기준 고용보험 미가입자로서 향후 13주간 교육이 가능한자2. 선택요건(택1)- 화학, 환경, 보건 분야 등 관련학과 2학년(4학기)이상 재학 및 졸업(예정)자- 관련 국가기술자격증 소지자- 관련 교육 및 업무 수행경험(실적)이 있는 자(증빙필수)",1. 워크숍 발표 우수자 상급 지급2. 상해보험 가입지원3. 우수교육수료생 인센티브 지급4. 환경부장관 수료증발급,-
R2023012001272,프로그램별 상이,-,-
R2023012001274,제한없음,"사건을 직접 경험한 피해자 뿐만 아니라 사고를 목격한 사람, 1차 피해자의 가족이나 친구, 희생자의 유족, 사건에 책임이 있다고 생각하는 사람, 경찰 소방관 및 응급서비스직에 종사(사고수습 등 업무 담당자)하는 사람 등",-
R2023012001276,"- 사용관계가 끝난 사람(퇴사자) 중 직장가입자로서의 자격을 유지한 기간이 보건복지부령으로 정하는 기간 동안 통산 1년 이상인 사람 (법 제110조) (2018.07.01.부터 개정시행)- 퇴직 이전 18개월 기간 동안 직장가입자로서의 자격을 유지한 기간이 통산 1년 이상인 사람으로, 종전의 직장가입자보험료(보수월액보험료+소득월액보험료)를 납부하고자 공단에 신청한 자","- 국민건강보험법 제110조 제1항에 의거 임의계속가입 자격은 지역가입자가 된 후 최초로 고지받은 지역보험료 납부기한에서 2개월이 지나기 이전까지 신청하여야 하고, 제2항에 의거 임의계속을 신청한 자가 최초로 고지한 임의계속 보험료를 그 납부기한부터 2개월이 지난 날까지 납부하지 않을 경우 임의계속 가입자 자격이 상실되며 지역가입자로 변동- 임의계속 세대의 소득 및 재산변동 등으로 임의계속가입자로서의 자격을 더 이상 유지하지 않으려는 사람은 임의계속탈퇴 신청서를 작성하여 공단에 제출하여야 하며, 해당 임의계속가입자는 임의계속탈퇴 신청서가 공단에 접수된 날의 다음 날로 그 자격이 상실됨",-
R2023012001277,"1. 청년 참여요건 : 제한없음 2. 기업 참여요건- 정부, 지자체 등에서 운영하고 있는 100개 인증사업에 참여한 기업- 당기 신용등급 BB- 이상 (채무상환능력을 인정받은 기업)- 최근 2년간 영업이익 창출기업- 최근 3개월 평균 15퍼센트 미만 퇴사율 기업- 최근 3년간 체불, 체납, 재해, 성범죄 명단공개 기업 제외- 중기인력지원특별법 제외업종 해당기업 제외- 상시근로자 10인 이상 기업 (건설업 30인, 스타트업 5인)",*상세내용 홈페이지 참조,참 괜찮은 중소기업 자격기준에 해당하지 않는 기업
R2023012001287,"- 대학졸업 예정자 및 미취업자, 특성화고 졸업자(예정자 포함)- 공동채용 참여기업 수준: 신입사원 기준 연봉 2,500만원 이상의 정규직을 채용하고자 하는 기업으로 양질의 일자리를 가진 벤처기업",-,"사행사업, 유흥업, 배팅업 등 일부업종 제외"
R2023012001288,"중소기업기본법 제2조에 따른 중소기업으로, 본 융자계획 공고에서 정하는 지원 대상에 해당하는 기업*창업기반자금 등 세부지원대상은 공고의 '사업별 정책자금 융자계획', 휴폐업기업, 소상공인 등 지원제외대상은 '융자제한기업' 참고","대출한도 : 연간 60억원 이내(운전자금은 연간 5억원 이내)대출기간 (시설자금) 10년 이내 (거치기간 : 담보 4년 이내, 신용 3년 이내)(운전자금) 5년 이내 (거치기간 : 2년 이내)대출금리 : 정책자금 기준금리(변동) - 0.3퍼센트포인트대출방식 : 직접대출, 대리대출기 타 : 사업별 대출한도 우대기준에 해당하는 기업은 대출한도 우대 가능",제한없음
R2023012001289,청년으로 구성된 5명 이상의 공동체(법인 또는 단체),참여자 모집과 관련한 자세한 사항은 해당 지방자치단체 홈페이지에 공고 예정,지자체별로 다름
R2023012001295,혁신적인 아이디어를 보유한 (예비)창업자,-,-
R2023012001296,"1. 청년 참여요건 : 제한없음 2. 기업 참여요건- 정부/지자체 등에서 운영하고 있는 100개 인증사업에 참여한 기업- 당기 신용등급 BB- 이상 (채무상환능력을 인정받은 기업)- 최근 2년간 영업이익 창출기업- 최근 3개월 평균 15퍼센트 미만 퇴사율 기업- 최근 3년간 체불, 체납, 재해, 성범죄 명단공개 기업 제외- 중기인력지원특별법 제외업종 해당기업 제외- 상시근로자 10인 이상 기업 (건설업 30인, 스타트업 5인)- 잡코리아, 워크넷에 연봉 2,700만원 이상의 신입 정규직을 채용하는 공고를 게시하여 구인중인 기업",-,참 괜찮은 중소기업 자격기준에 해당하지 않거나 우수채용공고 기준에 부합하지 않은 공고를 게시한 기업
R2023012101324,"(1) WFK 봉사단원(KOICA 일반봉사단원) 선발 기준과 동일- 봉사정신이 투철한 만 19세 이상의 대한민국 국적을 가진 자- 해외봉사활동을 수행하는 데 적합한 자- 국가공무원법 33조 각 호에 해당되지 아니하는 자- 남성의 경우 군복무를 필했거나 면제된 자(2) 2022년 한정, 코로나19 관련 추가 선발 기준- 파견 전 백신접종 완료자- 기저질환 미보유자- 만 60세 미만인 자*사회적 배려층(장애인, 다문화가정, 자립준비청년 등) 우대**선발 단원 대상 파견 전 공통교육 필참 의무",-,제한없음
R2023012101325,"(1) 지원서 제출 기준 만 18세 이상~만 29세 이하 대한민국 국적을 가진 자(2) 아래 기준을 충족하는 대학 또는 대학원 재학/휴학생, 졸업예정자, 졸업자- (졸업자) 지원서 제출 기준 대학(원) 졸업 1년 이내- 대학원 재학 중인 취업자의 경우 파견 전 교육 시작일(8.15.) 전까지 개별적으로 신분정리(퇴직, 휴직 등) 필요하며 개인 사유로 파견일 연기 불가- 단신파견 원칙(3) 국가 공무원법 제33조의 결격사유에 해당되지 않는 자(4) 해외봉사활동을 원활하게 수행 가능한 자(5) 해외여행에 결격사유가 없는 자(6) 군 복무를 필했거나 면제된 자(7) 해당 파견 기관이 요청하는 자격기준(전공, 경력 등)에 해당되는 자(8) KOICA-UNV 대학생 봉사단 프로그램에 과거 참여(파견 및 활동)한 적이 없는 자",-,제한없음
R2023012101326,자격사항KOMSTA 학생단원(한의대생은 누구나 가능)유의사항- 중기의 경우 2개월 이상 가능한 자- KOMSTA 단원이 아닌 참가자는 가입 필요,-,제한없음
R2023012101327,"- 전통시장법 제2조의 전통시장, 상점가, 골목형 상점가, 상권활성화구역 중 공고의 요건에 해당하는 사업 주체(상인조직)을 보유한 곳- 지방자치단체, 상인연합회(시도지회 포함)- 전통시장 상점가 골목형 상점가의 화재 공제(민간보험 포함) 가입률이 35퍼센트 이상인 곳",-,"공고일 기준('22.9.5.) 온누리상품권 부정 유통에 가담한 것으로 확인되어, 과태료 처분을 받은 상인회 중 접수 마감일('22.10.7.) 기준 과태료를 미납한 상인"
R2023012401351,제한없음,-,-
R2023012401352,"(1) 해외건설촉진법 상 해외건설사업자로 현재 진행 중인 해외 현장을 보유한 중소기업 및 중견기업* 신청일 기준, 해외건설촉진법상 계약체결이 완료되어 시공 중이거나 시공 예정인 해외현장을 보유하여야 함(2) 우선 선정기업- 마이스터고 및 특성화고 졸업생 채용 기업- 해외건설 전문인력 양성과정 수료생 채용 기업- 청년층 및 정규직 채용 기업- 국가유공자 자녀 채용 기업- 취업취약계층 채용기업- 우수 해외건설사업자* 직접일자리사업 중앙부처, 자치단체 합동지침에서 정의하는 저소득층, 장기실업자, 여성가장, 장애인, 북한이탈주민, 결혼이주여성 등",-,지원사업 기 참여자
R2023012401353,"부부합산 연소득 5천만원 이하(외벌이 3천5백만원 이하), 순자산가액 3.61억원 이하 무주택 세대주(예비세대주 포함)중소, 중견기업 재직자 또는 중소기업진흥공단, 신용보증기금 및 기술보증기금의 청년창업 지원을 받고 있는 자만 19세 이상 ∼ 만 34세 이하 청년 (만 19세가 되는 해의 1월 1일 맞이한 미성년자 포함, 병역의무를 이행한 경우 복무기간에 비례하여 자격기간을 연장하되 최대 만 39세까지 연장)",(1) 신청 시기- 임대차계약서상 잔금지급일과 주민등록등본상 전입일 중 빠른 날로부터 3개월 이내까지 신청- 계약갱신의 경우에는 계약갱신일(월세에서 전세로 전환계약한 경우에는 전환일)로부터 3개월 이내에 신청(2) 대상 주택아래의 요건을 모두 충족하는 주택- 임차 전용면적 : 전용면적 85㎡ 이하 주택(주거용 오피스텔은 85㎡이하 포함)- 임차보증금 : 2억원 이하,-
R2023012401354,민간임대주택에 관한 특별법에 따른 공공지원 민간임대사업자로 10년 이상 임대를 목적으로 시세대비 임대조건이 저렴한 민간임대주택을 공급하는 자,-,-
R2023012401355,"부양의무자 소득 및 재산 유무와 상관없이, 신청가구의 소득과 재산만을 종합적으로 반영한 소득인정액이 기준 중위소득의 47퍼센트(4인기준 253만원) 이하 가구*중위소득 : 전체가구를 소득순으로 순위를 매긴 다음, 중간순서 가구의 소득수준**소득인정액 : 소득평가액 + 재산의 소득환산액",-,-
R2023012401356,*입주자 모집공고 확인,행복주택 자가진단의 경우마이홈>공공주택(통합)>행복주택 자가진단 가능https://www.myhome.go.kr/hws/portal/dgn/moveSelfDiagnosisHappyView.do,*입주자 모집공고 확인공고확인방법- LH청약센터 -> 임대주택 -> '행복주택' 클릭
R2023012401357,"항공사, 공항공사, 연구원 등 항공분야 일자리를 원하는 구직 청년 누구나 지원가능",-,-
R2023012401360,금융회사 채무를 3개월 이상 연체하고 있는 대학생 및 미취업청년- 고등교육법 또는 기타 법률에 따라 설치된 각종 대학에 재학 중인 학생 및 대학원생- 근로의 의사가 있어도 취업하지 못한 만 34세 이하의 미취업 청년,-,-
R2023012401364,"1. 연령요건 1) 청년창업(일반, 지식) 지원자격   - 청년(만 20세 이상 만 39세 이하 대한민국 국민) 2) 푸드트럭 지원자격   - 청년(만 20세 이상 만 39세 이하 대한민국 국민)   - 40대(만 40세 이상 만 49세 이하 대한민국 국민) 3) 나이트카페 지원자격   - 청년(만 20세 이상 만 39세 이하 대한민국 국민)   - 시니어(만 50세 이상 만 65세 이하 대한민국 국민)2. 공고일 현재 학업수행 종료자3. 팀 단위 지원 가능하되, 팀원 모두가 상기요건을 충족해야 함4. 취업취약계층 및 국가유공자 우대","팀원 모두 아래 사항에 해당하지 않아야 하며, 해당될 경우 탈락조치1. 법인 명의로 신청하거나, 공고일 현재 사업자 등록이 되어 있는자(나이트카페 지원자는 해당없음)2. 채무 불이행자로 규제중인 자 (금융기관), 세금 체납자3. 한국도로공소 청년창업 지원 프로그램(창업매장, 푸드트럭, ex-cafe, 사회적기업 등)에 선발된 적이 있는 자",-
R2023012401365,"[지원대상]전일제 정규 주간 석/박사과정으로 스마트시티 관련 학과 또는 관련 학과 내 스마트시티 전문 트랙*을 개설, 운영 가능한 4년제 대학*2개 이상의 학과를 융합하여 전문 커리큘럼 운영[사업 수행대학]부산대학교, 서울대학교, 서울시립대학교, 성균관대학교, 연세대학교, 한국과학기술원 총 6개 대학*스마트시티 단일 학과 : 서울시립대학교, 성균관대학교**스마트시티 전문 트랙 : 부산대학교, 서울대학교, 연세대학교, 한국과학기술원",-,-
R2023012401366,"아래의 요건을 모두 충족하는 자1. (계약) 주택임대차계약을 체결하고 임차보증금의 5퍼센트 이상을 지불한 자2. (세대주) 대출접수일 현재 민법상 성년인 세대주(대출실행일로부터 1개월 이내에 세대분가 또는 세대합가로 인한 세대주 예정자 포함)*세대주의 정의세대별 주민등록상에 배우자, 직계존속(배우자의 직계존속) 또는 직계 비속인 세대원으로 이루어진 세대의 세대주 (* 형제/자매는 세대원에 미포함)다만, 다음에 해당하는 자도 세대주로 간주1) 세대주의 배우자2) 주민등록표상에 세대원으로 등록된 자가 대출접수일 현재 3개월 이내에 결혼으로 세대주로 예정된 자3. (무주택) 세대주를 포함한 세대원 전원이 무주택인 자4. (중복대출 금지) 주택도시기금대출, 은행재원 전세자금대출 및 주택담보대출 미이용자(주택도시기금대출) 성년인 세대원 전원(세대가 분리된 배우자 및 자녀, 결혼예정 배우자, 배우자의 직계존속과 동거세대를 구성하는 경우 배우자의 직계존속 포함)이 기금 대출을 이용 중이면 대출 불가(전세자금대출 및 주택담보대출) 차주 및 배우자(결혼예정 또는 분리된 배우자 포함)가 전세자금(이주비)대출 및 주택담보대출을 이용 중이면 대출 불가(학자금대출) 차주 및 배우자(결혼예정 또는 분리된 배우자 포함)가 학자금대출을 이용 중이면 대출 불가(단, 대학교 졸업증명서를 제출하는 경우 제외)5. (자산) 대출신청인 및 배우자의 합산 순자산 가액이 통계청에서 발표하는 최근년도 가계금융복지조사의 소득 5분위별 자산 및 부채현황 중 소득 3분위 전체가구 평균값 이하(십만원 단위에서 반올림)인 자2023년도 기준 3.61억원*자산심사 관련 자세한 사항은 기금포탈 [고객서비스]-[자산심사 및 금리안내]-[자산 심사 안내]를 참고(바로가기)6. (신용도) 아래 요건을 모두 충족하는 자신청인(연대입보한 경우 연대보증인 포함)이 한국신용정보원 신용정보관리규약에서 정하는 아래의 신용정보 및 해제 정보가 남아있는 경우 대출 불가능1) 연체, 대위변제/대지급, 부도, 관련인 정보2) 금융질서문란정보, 공공기록정보, 특수기록정보3) 신용회복지원등록정보그 외, 부부에 대하여 대출취급기관 내규로 대출을 제한하고 있는 경우에는 대출 불가능7. (공공임대주택) 대출접수일 현재 공공임대주택에 입주하고 있는 경우 불가대출신청 물건지가 해당 목적물인 경우 또는 대출신청인 및 배우자가 퇴거하는 경우 대출가능8. (우대형) 아래 중 어느 하나에 해당하는 자1) 취업준비생 : 부모와 따로 거주하는 자 또는 독립하려고 하는 자 중 만35세 이하 무소득자로 부모 소득이 6천만원 이하인 자2) 희망키움통장 가입자3) 사회초년생 : 취업 후 5년 이내로 신청일 현재 만 35세 이하 부부합산 연소득 4천만원 이하인 자4) 근로장려금 수급자 :　대출접수일 기준 최근 1년 이내 수급사실이 인정되는 근로장려금 수급자 중 세대주(세대주로 인정되는 자)5) 자녀장려금 수급자 : 대출신청일 기준 최근 1년이내 수급사실이 인정되는 자녀장려금 수급자 중 세대주(세대주로 인정되는자 포함)인 자6) 주거급여 수급자 : 대출 신청일 현재 주거급여 수급자 중 세대주(세대주로 인정되는 자 포함)인 자(일반형) 부부합산 연소득 5천만원 이하자 중 우대형에 해당하지 아니한 자",-,-
R2023012401367,"아래의 요건을 모두 충족하는 자1. (계약) 주택임대차계약을 체결하고 임차보증금의 5퍼센트 이상을 지불한 자2. (세대주) 대출접수일 현재 민법상 성년인 단독세대주(예비세대주 포함)3. (무주택) 세대주를 포함한 세대원 전원이 무주택인 자4. (중복대출 금지) 주택도시기금대출, 은행재원 전세자금대출 및 주택담보대출 미이용자(주택도시기금대출) 성년인 세대원 전원(세대가 분리된 배우자 및 자녀, 결혼예정 배우자, 배우자의 직계존속과 동거세대를 구성하는 경우 배우자의 직계존속 포함)이 기금 대출을 이용 중이면 대출 불가(전세자금대출 및 주택담보대출) 차주 및 배우자(결혼예정 또는 분리된 배우자 포함)가 전세자금대출 및 주택담보대출을 이용 중이면 대출 불가(임차중도금대출 중복예외허용) 한국주택금융공사 주택보증서 담보로 취급된 기금 임차중도금(잔금포함) 대출을 이용 중인 대출자가 타 물건지에서 한국주택금융공사 주택보증서 담보로 기금 또는 은행재원 전세대출을 이용하고자 하는 경우5. (소득) 대출신청인과 배우자의 합산 총소득이 5천만원 이하인 자6. (자산) 대출신청인 및 배우자의 합산 순자산 가액이 통계청에서 발표하는 최근년도 가계금융복지조사의 소득 5분위별 자산 및 부채현황 중 소득 3분위 전체가구 평균값 이하(십만원 단위에서 반올림)인 자2023년도 기준 3.61억원자산심사 관련 자세한 사항은 기금포탈 [고객서비스]-[자산심사 및 금리안내]-[자산 심사 안내]를 참고(바로가기)7. (신용도) 아래 요건을 모두 충족하는 자신청인(연대입보한 경우 연대보증인 포함)이 한국신용정보원 신용정보관리규약에서 정하는 아래의 신용정보 및 해제 정보가 남아있는 경우 대출 불가능1) 연체, 대위변제/대지급, 부도, 관련인 정보2) 금융질서문란정보, 공공기록정보, 특수기록정보3) 신용회복지원등록정보그 외, 부부에 대하여 대출취급기관 내규로 대출을 제한하고 있는 경우에는 대출 불가능8. (공공임대주택) 대출접수일 현재 공공임대주택에 입주하고 있는 경우 불가대출신청인 및 배우자가 퇴거하는 경우 대출가능(대출신청 물건지가 공공임대주택인 경우 취급 불가)",-,-
R2023012401368,- 청년(만 19~39세) 중 예비창업자 또는 초기창업자- 경력단절여성(경제활동을 중단하였거나 경제활동을 한 적이 없는 여성)- 사회적기업((예비)사회적기업 인증을 받은 자)- 영세 소상공인(소득 월 400만원 이하) 중 최근 5년 간 영업 경력이 2년 이상인 자,-,-
R2023012401369,프로그램별 상이,-,-
R2023012501401,"(1) 참여기업- 상시근로자 3인 이상(신청일 기준), 직전년도 매출액 1억의 농식품 벤처, 창업 기업- 현장 인턴십 기회 제공이 가능한 농식품 벤처, 창업 기업(2) 창업인턴- 창업 의지와 농식품 분야 벤처, 창업 아이템을 보유한 만 19세 이상 39세 이하의 예비 청년창업자 및 팀(최대 3인)- 인턴 기간(2-3개월) 동안 인턴활동이 가능한 자",-,-
R2023012501402,"- 참여 대상: 고졸 취업준비 청년층(고졸예정자 포함)- 특성화고 및 인문계고 재학 중인 취업준비생, 고교 졸업 및 병역이행 후 취업하고자 하는 20대 초반의 청년층 등",,제한없음
R2023012501403,일반계고에 재학 중인 고3학생,-,제한없음
R2023012501405,"- V3토익(영어) 700점 이상*이거나 동 점수에 준한 자격 보유자* 토플(80점), 뉴텝스(265), 토익스피킹(120), OPIc(IM1) 이상 (단, 접수마감일 기준 2년 이내 점수 인- 어학능력: 토익 700점 이상이거나 동 점수에 준한 자격 보유자(2년 이내 점수 인정, 토플(80점), 텝스(495), 뉴텝스(265), 토익스피킹(120), OPIc(IM1))",,"- 파견일 기준 고용보험가입중인자- 파견기간 내 정부 직접일자리사업 기참여자- 파견기간 내 신상변동으로 중도포기 우려가 있는 자- 고용부 운영 일모아시스템에서 반복 참여자로 확인된 자"
R2023012501406,"부양의무자 소득 및 재산 유무와 상관없이, 신청가구의 소득과 재산만을 종합적으로 반영한 소득인정액이 기준 중위소득의 47퍼센트(4인기준 253만원) 이하 가구",-,-
R2023012501407,제한없음,-,
R2023012501408,"대학생 또는 졸업생 - 연수생 : 농과계열 대학 재학 중인 자로 농업 관련 과목 또는 관련 계통 과목을 6개 이상 이수한자  - 연구원 : 농과계열 대학 졸업 이상인 자(만 34세 이하)  - 통역연구원 : 어학계(불어, 스페인어) 대학 졸업 이상인 자(만 34세 이하)공고별로 상이하니 모집공고를 상시 확인해야 함",-,제한없음
R2023012501409,(주관단체)청춘마이크 사업 운영 역량을 갖춘 문화예술 관련 기관 및 단체(청년예술가)제한없음,"음악(대중.전통.클래식 등), 춤, 다원예술 등 장르 구분없이 매달 마지막 수요일 문화가 있는 날과 그 주간에 거리.광장.실내 등 일상의 장소에서 공연 활동이 가능한 청년 문화예술인 - 만 19세~만 34세의 청년예술가- 1인~5인 이상으로 구성된 팀  - 지역 제한 없이 중복 신청 가능",-
R2023012501410,제한없음,만 19~60세의 체육지도자 자격증 소지자면 가능,-
R2023012501412,"아동복지시설, 가정위탁 보호종료 5년 이내 청년 중 1. 만 18세 이후 보호종료 된 아동(자립준비청년)2. 보호종료일로부터 과거 2년 이상 연속하여 보호를 받는 청년* 아동복지법 제 52조 아동양육시설, 아동일시보호시설, 아동보호치료시설, 공동생활가정",-,"아동복지시설, 가정위탁의 보호종료 5년 이내 아동만 참여가능"
R2023012501413,"지원대상: 아동양육시설, 공동생활가정, 가정위탁 보호종료 5년 이내 아동 중 다음 사항을 모두 충족하는 경우 지원선정기준: 1. 한국토지주택공사(LH) 매입.전세임대주택 거주 중인 자 (계약 완료 후 2달 이내 거주 예정인 자 포함) 2. 재계약을 포함하여 계약 잔여기간이 최소 1년 이상인 자",-,-
R2023012501414,만 18세 이상 ~ 만 34세 이하의 기초생활수급가구 청년근로소득공제: 대학생 및 만 18세 이상 24세 이하,근로소득공제: 대학생 및 만 18세 이상 24세 이하- 소득에서 40만원 우선 공제 후 30프로 추가 공제- 대학생 등록금 제출 공제,-
R2023012501421,"- 대학생 및 일반청년 등 식품분야 창업희망자 (39세 이하)- 5년 미만의 식품관련 창업기업 (대표자 만 39세 이하)- (팀구성) 예비창업 2~5인 이내, 기 창업일 경우 1인팀 지원가능",-,"- 국가식품클러스터 산업단지 입주 불가업종- 접수마감일 현재 국가연구개발사업에 참여제한 중인 자- 타인의 특허, 실용신안 등 지적재산권을 침해하였거나 침해할 우려가 있는 아이템- 기타 공고내용의 기본목적에 부합하지 않는 경우"
R2023012501426,"- 만 20세 이상 ~ 만 40세 이하  - 귀농을 희망하는 청년 (남자인 경우 군필자만 지원 가능)    * 우대사항 - 농촌관련 체험활동 3개월 이상 - 주소지를 농촌지역으로 이전한자 - 증빙이 가능한 기타 귀농교육 수료자 - 교육 중 및 수료 후 농업경영체 등록을 통해 창농이 가능한 자",교육비 : 교육기관별 상이(교육기관 문의),-
R2023012501429,"만 39세 이하로 문학, 시각예술, 공연예술(연극, 무용, 음악, 전통), 다원예술 분야 개인",-,학부 재학생 지원불가
R2023012501430,제한없음,-,제한없음
R2023012501431,제한없음,-,제한없음
R2023012501432,"- 청소년 부문 : 만 13세~18세 청소년(대학원생 제외)- 대학생 부문 : 국내 대학 재학.휴학 중인 자(대학원생 제외)- 일반 부문 : 사회문제를 해결할 수 있는 소셜 비즈니스 아이템을 가진 만 19세 이상 개인(팀) 또는 소셜벤처(기업)    소셜벤처가 사회문제 해결 과정에서 겪고 있는 어려움을 해결하기 위한 아이디어를 제출하는 것도 가능- 글로벌 부문 :  국제개발협력 관련 아이템을 보유하였거나  해외진출전략 및 아이디어를 가진 만 19세 이상 개인(팀) 또는 소셜벤처(기업)    난민, 이민자 등 국내 거주 외국인 문제 해결과 같은 해외 활동에 기반하지 않는 아이디어를 제출하는 것도 가능",-,동일 아이디어로 정부부처 및 공공기관에서 주최ㆍ주관한 아이디어 경진대회에서 수상 이력이 있는 자는 참여불가
R2023012501433,프로그램 참여를 희망하는 구직자 누구나,-,제한없음
R2023012501434,고등학교 졸업자 혹은 대학 최종학년 재학생 및 미취업자,"심화반 구성 * A반 - 모의해킹 * B반 - 정보보호컨설팅 * C반 - 개인정보보호 기술 * D반 - 침해사고 대응 * E반 - 정보시스템 취약점 진단 * F반 - 클라우드 보안 운영교육일정   A, B반 - 월, 목: 2023.03.06(월) ~ 05월 11일(목)   C, D반 - 화, 금: 2022.03.06(월) ~ 05월 19일(금)   E, F반 - 수, 토: 2022.03.06(월) ~ 05월 13일(토)교육시간  실시간 온라인 공통 교육(03.06 ~ 03.17)   - A, B, C, D, E, F : 09:00 ~ 18:00 (월~금, 주 5회)  오프라인 공통+ 심화 교육 (03.20~05.19)   - A, C, E: 09:00 ~ 18:00 (트랙별 / 주 2회)   - B, D, F: 09:30 ~ 18:30 (트랙별 / 주 2회)",-
R2023012501435,이공계 석.박사 미취업자로 학위 취득 후 5년 이내인 자 2023년 2월 졸업예정자 포함,"연수기간 : 최대 9개월기타 : 4대 보험 적용, 취업정보 제공 및 취업지원",- 대한민국 국적을 보유하지 않는 외국인- 과거 동 사업에 참여한 기록이 있거나 현재 참여 중인 자(중도포기자 포함)
